No;Komentar
190;akuin emang sambal bawangnya top markotop pedas stop makan pakai sambal bawangnya tertawa
191;enak jadi anaknya bu rudy bekel sekolah bervariasi
192;suka sambelnya
193;ibu rudy import taiwan hongkong korea bu
194;mantap bu rudy
195;bu matanya hitam
196;gokil si nich bu rudy saluuuttttt bu
197;kendala cinta kendala nomor kereeeen buuuuk jadi inspired
198;ibu jadi motivator niiii
199;waahh madiun mayarno tooopp
200;mantap tetap rendah hati terus berinovasi tiru bu sifatmu jos
201;masakan bu rudy emang legend membuktikannya pas dilidah sambel ijonya muantulll wkwk
202;ruginya digembleng orang tuaku masyaallah
203;suka prinsipnya alkitab mengatakan panjang umur kehormatan kekayaan tuhan tambahkan mendengar didikan orang tua taat orang tua hasilnya lihat ibu rudy prinsipnya mama siap komplain memperbaiki salah mantap sukses terus bu
204;mesti surabaya beli sambel bu rudy nama rudy hahahaha
205;duhh kayaknya manis lucu lewat
206;videonya tahun ramai baru hoiya ngomong ngomong pintar bikin lagu buruan bikin jingle sambel bu rudy gih
207;yaampun sambelnya enak banget
208;buk exsport negara timur tengah doong sambalnya philipin kurang pas lidah orang indonesia
209;mirip ibuk ibuk korea wkwkwk rambut nya sih kribo
210;penuh inspirasi buk mantaappppp ilmu super
211;sby endi eroh
212;sambel bu rudy amerika loh
213;sambel ibu rudy enak banget ketagihan asli wkwk
214;bawaan wajib surabaya berat bawaan oleholeh sambal
215;jawanya medokkk banget rek bilang bandung jadi mbandung heheh mantap bu rudi
216;keren banget sih
217;the best sambel merah nya galak nasi bikin nya
218;duuh beli online
219;sambel bawang bu rudy nampol abisss mantap kali nampol lidah
220;menginspirasi
221;bu coba masukin productnya oke oce mart jamin bu
222;senenge rek nek suroboyo ngomong medok ngoko senang tenan
223;nyari jogja susah banget enak solo
224;surabaya afdol beli sambel bu rudy hehehehehe
225;medion angkat tangan
226;idola sambal bu rudy indomie rebus
227;disebutkan halal tdknya
228;stempel mui
229;pakai haram orang dibikin udang sambel hahaha
230;haram mbak
231;sambel bu rudy hrganya belii
232;ribuan
233;kelebihan luar lho
234;sambel favorit si wajib
235;sambal favenya ria sw
236;bakat bu rudy bikin masakan lihat resep loh bikin iri bakat niat berkembang dipunyain ibu
237;mantap semangatnya dicontoh top ibu muda jadi malu semangatnya kalah ibu
238;kesini bang alex
239;sambal bu rudi emang enakkk si
240;wadubosnya ikut jualan jugasalut
241;terbukti profesi baik menjadi pedagang pedagang perlu menjilat atasan pedagang bakal korupsi dagangannya uang pedagang bersumber pajak rakyat pedagang membuka lapangan pekerjaan masyarakat pedagang menggerakkan roda perekonomian daerah anehnya indonesia mayoritas orang tua bangga anaknya jadi pns pekerja kantoran memandang rendah profesi pedagang petani nelayan pengusaha jasa transportasikonstruksidesignbogaexpedisieodokumentasikonsultasi profesi non formal berpenghasilan jthari nasibnya jauh baik menjadi pekerja sektor formal
242;profesi baik bro terbaik terburuk asalkan halal sesuai keahlian passion masingmasing pedagang berdiri pekerjaan diluar meluruskan
243;nice brooo
244;bu rudi pedagang pengusaha
245;green tea emang pedagang pengusaha mas hadeh
246;black panda betuuul
247;doakan manteman insya allah bisnis jualan kuliner sukses aamiiin
248;betul bro jadi pedagang pengusaha diwariskan anak cucu jadi pegawai pns diwariskan
249;hadits salah pintu rezeki dagang
250;zvnn nxl iya benar doakan saudaraku
251;black panda profesi berhubungan membutuhkan pedagang membutuhkan bahan baku disupply pasar bahan baku pasar berasal petani nelayan pabrik mengantar bahan baku membutuhkan jasa transport driver tukang angkut mengantar membutuhkan fasilitas jalan umum disediakan pemerintah membangun jalan salah satu sumber dananya pajak pns pajak mengumpulkan menjaga harga barang tetap stabil perlu kebijakan peraturan pemerintah ekspor impor subsidi bbm jadi pekerjaan baik
252;alfian maruf meliput orang kafir yah umbar aurat indonesia muslimah berhijab sukses pilih muslimah
253;bhabankloe level pedagang orang berjualan melakukan aktifitas perdagangannya level pengusaha pedagang menyerahkan pekerjaannya pihak karyawan salary sepakati perdagangannya menjadi auto pilot
254;contoh bekerja hati bahagia
255;sampel terenak coba nih nya aga susah nyarinya masa surabaya
256;youtubervloger kuliner terkenal mereview sambal bu rudy
257;nyari sambel bu rudy bandung nyari supermarket menemukan
258;insya allah buka makanan kecilan doa in plendd biar laris awet nya rasa jadi nomor satu doa baik berbalik
259;aamiin semoga sukses mbak
260;dinda deta aminn terima kasih doa mbaa
261;aamiinsmg lariss manis mbaa
262;the iconic bu rudi berhasil bikin napsu makan meningkat drastis luar sambalnya buuu
263;enakkan sambal terasi istriku
264;dibilang raja kungkingkang
265;namanya bakat lahir
266;sehat terus bu rudy
267;anaknya ibu rudy bahagia ortu masa lalunya miskin menjadi kaya raya bakalan membahagiakan anaknya anaknya merasakan sulitnya masa jalani
268;maknya sanji
269;lidahnya sensitif jadi duplikasi
270;mantaaap bu rudy
271;bertanya dibakar bu rudy nasi bakar
272;setia putri iya nasi bakar
273;nasi bakar tunaayamcumi rasanya asin gurih soalnya kerja bu rudy cabang food festival surabaya
274;merintis usaha jual mie ayam bocah suroboyo
275;surabaya kota terbersih indonesia orang cilacap mghrgai bangga surabaya bagian indonesia
276;terlihat orang nya rendah hati usaha ibu sukses diberkati tuhan bu ngomong tahan sambalnya jadi cobain beli makan sambalnya
277;suhu kamar mentok hari beda rasanya kulkas seminggu
278;coba pak sambelnya puwedes enak
